epoch,learning_rate,Loss,SceneFlowLoss,SegLoss,TrackingLoss,mean_train_loss,best_val_loss_till_now
0,0.001,0.153688,0.322458,0.153688,0.170682,0.153688,0.153688
1,0.00097,0.150596,0.318548,0.150596,0.165164,0.150596,0.150596
2,0.000941,0.150922,0.315116,0.150922,0.149147,0.150922,
3,0.000913,0.136378,0.315044,0.136378,0.154678,0.136378,0.136378
4,0.000885,0.13464,0.315038,0.13464,0.158163,0.13464,0.13464
5,0.000859,0.126062,0.314514,0.126062,0.160932,0.126062,0.126062
6,0.000833,0.118753,0.314253,0.118753,0.169736,0.118753,0.118753
7,0.000808,0.109564,0.314313,0.109564,0.177071,0.109564,0.109564
8,0.000784,0.112493,0.313612,0.112493,0.173207,0.112493,
9,0.00076,0.103964,0.313966,0.103964,0.185155,0.103964,0.103964
