epoch,learning_rate,Loss,SceneFlowLoss,SegLoss,TrackingLoss,mean_train_loss,best_val_loss_till_now
0,0.001,0.200264,0.646848,0.200264,0.600662,0.200264,0.200264
1,0.00097,0.22544,0.646812,0.22544,0.595178,0.22544,0.200264
2,0.000941,0.36784,0.16364,0.214171,0.143697,0.36784,0.200264
3,0.000913,0.371758,0.181778,0.22066,0.120418,0.371758,0.200264
4,0.000885,0.384181,0.177718,0.246336,0.097971,0.384181,0.200264
5,0.000859,0.381453,0.181929,0.236017,0.108943,0.381453,0.200264
6,0.000833,0.371909,0.174958,0.238149,0.092561,0.371909,0.200264
7,0.000808,0.362215,0.182575,0.232036,0.077785,0.362215,0.200264
8,0.000784,0.373724,0.187204,0.234995,0.090253,0.373724,0.200264
9,0.00076,0.3972,0.185566,0.257815,0.093205,0.3972,0.200264
