epoch,rne,50-50 rne,mov_rne,stat_rne,sas,ras,epe,timestamp,sw-version
0,0.27430106,nan,0,nan,0.987887392,0.999244019,0.646848255,2024-04-28-01-55-31,
1,0.274265424,nan,0,nan,0.988686281,0.999258644,0.646811639,2024-04-28-02-35-45,
2,0.069109856,nan,0,nan,0.999852005,0.999999433,0.163639923,2024-04-28-03-22-31,
3,0.0767612,nan,0,nan,0.999687119,0.999961415,0.181778015,2024-04-28-04-09-33,
4,0.075064217,nan,0,nan,0.999719681,0.999980561,0.177718465,2024-04-28-05-03-30,
5,0.07688156,nan,0,nan,0.999503867,0.999947908,0.18192919,2024-04-28-05-52-13,
6,0.073912238,nan,0,nan,0.999712853,0.999989021,0.17495786,2024-04-28-14-38-43,
7,0.077106026,nan,0,nan,0.999619104,0.99997556,0.182574756,2024-04-28-15-33-12,
8,0.079084156,nan,0,nan,0.999744015,0.999996446,0.187203596,2024-04-28-16-30-44,
9,0.078356706,nan,0,nan,0.999733406,0.999993125,0.185565689,2024-04-28-17-31-47,
