epoch,acc,miou,sen,timestamp,sw-version
0,0.918436759,0.599029023,0.873891189,2024-04-28-01-55-31,1.0.2
1,0.904212968,0.569787398,0.852091916,2024-04-28-02-35-45,1.0.2
2,0.917930123,0.587687514,0.856913374,2024-04-28-03-22-31,1.0.2
3,0.906774226,0.575910027,0.856593561,2024-04-28-04-09-33,1.0.2
4,0.893124473,0.559346555,0.849360209,2024-04-28-05-03-30,1.0.2
5,0.902497445,0.568462982,0.842672066,2024-04-28-05-52-13,1.0.2
6,0.893462529,0.556417621,0.844560439,2024-04-28-14-38-43,1.0.2
7,0.895019532,0.560487378,0.847451685,2024-04-28-15-33-12,1.0.2
8,0.89967425,0.562876853,0.846691077,2024-04-28-16-30-44,1.0.2
9,0.891017212,0.5549032,0.827244974,2024-04-28-17-31-47,1.0.2
,,,,,
,,,,,
,,,,,
,,,,,
