rne,50-50 rne,mov_rne,stat_rne,sas,ras,epe,timestamp,sw-version,model-name,epoch run
0.151200552,nan,0.007212005,nan,0.998319127,0.99997636,0.356441702,2024-04-29-12-59-23,1.0.0,model.best,10ep run 1
0.156656586,nan,0.000480316,nan,0.995504797,0.999562742,0.369201748,2024-04-29-13-14-18,1.0.0,model.best0,10ep run 1
0.148500998,nan,0.000218199,nan,0.997646906,0.99980509,0.350076976,2024-04-29-13-35-57,1.0.0,model.best1,10ep run 1
0.15253936,nan,0,nan,0.994877977,0.999374521,0.3594909,2024-04-29-14-12-04,1.0.0,model.best3,10ep run 1
0.144525199,nan,0,nan,0.998224215,0.999920241,0.340862721,2024-04-29-14-30-12,1.0.0,model.best4,10ep run 1
0.144061784,nan,0.000326889,nan,0.998262423,0.999940086,0.339754688,2024-04-29-14-47-39,1.0.0,model.best6,10ep run 1
0.145981447,nan,0,nan,0.997804175,0.999715108,0.344195353,2024-04-29-15-12-19,1.0.0,model.best,8ep run 1
0.500030437,nan,1.434432306,nan,0.969539764,0.995912962,1.176646384,2024-04-29-15-38-29,1.0.1,model.best1,8ep run 1
0.316151236,nan,0.10719917,nan,0.963088708,0.993383745,0.74391789,2024-04-29-17-14-54,1.0.1,model.best,10ep run 2
0.280029012,nan,0.024254526,nan,0.98094422,0.998512422,0.658835649,2024-04-29-17-34-53,1.0.1,model.best,24ep run 1
0.1890865804796311,nan,0.0,nan,0.9900269542034604,0.998116016269194,0.4453432147501806,2024-04-29-18-27-54,1.0.1,model.last23,24ep run 1
